[["NAME","B25064_001E","state","county","tract"],
["Census Tract 1.01, Denver County, Colorado","941","08","031","000101"],
["Census Tract 1.02, Denver County, Colorado","902","08","031","000102"],
["Census Tract 2.01, Denver County, Colorado","1116","08","031","000201"],
["Census Tract 2.02, Denver County, Colorado","577","08","031","000202"],
["Census Tract 3.01, Denver County, Colorado","683","08","031","000301"],
["Census Tract 3.02, Denver County, Colorado","888","08","031","000302"],
["Census Tract 3.03, Denver County, Colorado","749","08","031","000303"],
["Census Tract 4.01, Denver County, Colorado","588","08","031","000401"],
["Census Tract 4.02, Denver County, Colorado","904","08","031","000402"],
["Census Tract 5.01, Denver County, Colorado","866","08","031","000501"],
["Census Tract 5.02, Denver County, Colorado","517","08","031","000502"],
["Census Tract 6, Denver County, Colorado","639","08","031","000600"],
["Census Tract 7.01, Denver County, Colorado","672","08","031","000701"],
["Census Tract 7.02, Denver County, Colorado","736","08","031","000702"],
["Census Tract 8, Denver County, Colorado","216","08","031","000800"],
["Census Tract 9.02, Denver County, Colorado","985","08","031","000902"],
["Census Tract 9.03, Denver County, Colorado","976","08","031","000903"],
["Census Tract 9.04, Denver County, Colorado","595","08","031","000904"],
["Census Tract 9.05, Denver County, Colorado","973","08","031","000905"],
["Census Tract 10, Denver County, Colorado","427","08","031","001000"],
["Census Tract 11.01, Denver County, Colorado","727","08","031","001101"],
["Census Tract 11.02, Denver County, Colorado","945","08","031","001102"],
["Census Tract 13.01, Denver County, Colorado","933","08","031","001301"],
["Census Tract 13.02, Denver County, Colorado","981","08","031","001302"],
["Census Tract 14.01, Denver County, Colorado","600","08","031","001401"],
["Census Tract 14.02, Denver County, Colorado","640","08","031","001402"],
["Census Tract 14.03, Denver County, Colorado","674","08","031","001403"],
["Census Tract 15, Denver County, Colorado","888","08","031","001500"],
["Census Tract 16, Denver County, Colorado","1181","08","031","001600"],
["Census Tract 17.01, Denver County, Colorado","1068","08","031","001701"],
["Census Tract 17.02, Denver County, Colorado","895","08","031","001702"],
["Census Tract 18, Denver County, Colorado","921","08","031","001800"],
["Census Tract 19, Denver County, Colorado","288","08","031","001900"],
["Census Tract 20, Denver County, Colorado","886","08","031","002000"],
["Census Tract 21, Denver County, Colorado","636","08","031","002100"],
["Census Tract 23, Denver County, Colorado","783","08","031","002300"],
["Census Tract 24.02, Denver County, Colorado","478","08","031","002402"],
["Census Tract 24.03, Denver County, Colorado","756","08","031","002403"],
["Census Tract 26.01, Denver County, Colorado","605","08","031","002601"],
["Census Tract 26.02, Denver County, Colorado","865","08","031","002602"],
["Census Tract 27.01, Denver County, Colorado","606","08","031","002701"],
["Census Tract 27.02, Denver County, Colorado","743","08","031","002702"],
["Census Tract 27.03, Denver County, Colorado","593","08","031","002703"],
["Census Tract 28.01, Denver County, Colorado","850","08","031","002801"],
["Census Tract 28.02, Denver County, Colorado","675","08","031","002802"],
["Census Tract 28.03, Denver County, Colorado","764","08","031","002803"],
["Census Tract 29.01, Denver County, Colorado","670","08","031","002901"],
["Census Tract 29.02, Denver County, Colorado","1077","08","031","002902"],
["Census Tract 30.01, Denver County, Colorado","858","08","031","003001"],
["Census Tract 30.02, Denver County, Colorado","985","08","031","003002"],
["Census Tract 30.03, Denver County, Colorado","806","08","031","003003"],
["Census Tract 30.04, Denver County, Colorado","845","08","031","003004"],
["Census Tract 31.01, Denver County, Colorado","577","08","031","003101"],
["Census Tract 31.02, Denver County, Colorado","470","08","031","003102"],
["Census Tract 32.01, Denver County, Colorado","608","08","031","003201"],
["Census Tract 32.02, Denver County, Colorado","764","08","031","003202"],
["Census Tract 32.03, Denver County, Colorado","1116","08","031","003203"],
["Census Tract 33, Denver County, Colorado","1284","08","031","003300"],
